Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,50.0,1.0,50.0,50.0,0.1,19.308000000000035,0.0,0.0,0.0050547122955322266,,,,,,,,,,,,,,,,,,,,,5.056906495623067,5.944862267274214,19.09332222634932,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,99.0,2.0,49.0,99.0,0.1,22.208000000000027,0.0,0.0,4.849299430847168,,,,,,,,,,,,,,,,,,,,,6.457692216772842,7.061198638791013,21.93542198993601,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,145.0,3.0,46.0,145.0,0.1,21.108000000000025,0.0,0.0,9.525171041488647,,,,,,,,,,,,,,,,,,,,,6.133607514576044,6.79301237368014,20.867568323407994,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,244.0,4.0,99.0,244.0,0.1,51.40600000000003,0.0,0.0,18.562233686447144,,,,,,,,,,,,,,,,,,,,,19.453210905272933,13.931312929248817,49.57924102318333,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,290.0,5.0,46.0,290.0,0.1,24.40700000000002,0.0,0.0,23.127918243408203,,,,,,,,,,,,,,,,,,,,,7.716581690945882,8.039396393607047,24.100213569141204,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,322.0,6.0,32.0,322.0,0.1,14.305999999999994,0.0,0.0,26.391777276992798,,,,,,,,,,,,,,,,,,,,,4.215247876087778,4.767713007312044,14.199496862192715,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,365.0,7.0,43.0,365.0,0.1,19.209000000000028,0.0,0.0,30.881845235824585,,,,,,,,,,,,,,,,,,,,,5.2639861122403175,6.303147622355027,19.020670918339427,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,507.0,8.0,142.0,507.0,0.1,84.01599999999993,0.0,0.0,43.633360624313354,,,,,,,,,,,,,,,,,,,,,28.870410787982077,26.646527106012794,80.07647454071339,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,557.0,9.0,50.0,557.0,0.1,26.708000000000027,0.0,0.0,48.46762013435364,,,,,,,,,,,,,,,,,,,,,8.192991932123888,8.883886477229733,26.351026104576857,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,584.0,10.0,27.0,584.0,0.1,12.204999999999995,0.0,0.0,51.273287773132324,,,,,,,,,,,,,,,,,,,,,3.6830251750386505,4.162317623865936,12.129805802072301,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,653.0,11.0,69.0,653.0,0.1,18.70700000000004,0.0,0.0,57.98054909706116,,,,,,,,,,,,,,,,,,,,,4.452111457388323,4.916866243705968,18.436659191163347,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,697.0,12.0,44.0,697.0,0.1,18.40800000000003,0.0,0.0,62.301193714141846,,,,,,,,,,,,,,,,,,,,,4.95262574757628,5.888829755887916,18.226519279145663,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,722.0,13.0,25.0,722.0,0.1,10.605999999999995,0.0,0.0,65.02207612991333,,,,,,,,,,,,,,,,,,,,,3.0685974993155174,3.653366121754919,10.550375262667185,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,757.0,14.0,35.0,757.0,0.1,20.605000000000015,0.0,0.0,68.59846925735474,,,,,,,,,,,,,,,,,,,,,7.123385223845138,7.045390279728679,20.396454028768932,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,834.0,15.0,77.0,834.0,0.1,44.906000000000006,0.0,0.0,75.74347019195557,,,,,,,,,,,,,,,,,,,,,16.121102932804895,14.181316699518025,43.75213559322488,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,878.0,16.0,44.0,878.0,0.1,18.40800000000003,0.0,0.0,80.32597303390503,,,,,,,,,,,,,,,,,,,,,4.95262574757628,5.888829755887916,18.226519279145663,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,921.0,17.0,43.0,921.0,0.1,21.908000000000023,0.0,0.0,84.54561710357666,,,,,,,,,,,,,,,,,,,,,6.647819654939614,7.299729050297473,21.66545299537535,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,1080.0,18.0,159.0,1080.0,0.1,90.40999999999983,0.0,0.0,98.89342331886292,,,,,,,,,,,,,,,,,,,,,30.992402783515438,25.092934149540948,85.65342916231653,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1120.0,19.0,40.0,1120.0,0.1,23.607000000000017,0.0,0.0,102.82728791236877,,,,,,,,,,,,,,,,,,,,,7.984799588569794,8.05210227969122,23.334253188581183,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1186.0,20.0,66.0,1186.0,0.1,29.608000000000025,0.0,0.0,109.07916474342346,,,,,,,,,,,,,,,,,,,,,9.857502060685842,8.955128042144045,29.0154066619119,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,52.0,1.0,52.0,1238.0,0.1,35.105999999999995,0.0,0.0,221.94542026519775,,,,,,,,,,,,,,,,,,,,,13.507335435945484,11.581633697797159,34.47252914308786,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,135.0,2.0,83.0,1321.0,0.1,38.308000000000014,0.0,0.0,229.7269742488861,,,,,,,,,,,,,,,,,,,,,14.537001036859147,10.555069690073722,37.17574322464677,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,214.0,3.0,79.0,1400.0,0.1,46.906,0.0,0.0,237.1846182346344,,,,,,,,,,,,,,,,,,,,,17.580551818287326,14.06570700917474,45.60830741287363,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,277.0,4.0,63.0,1463.0,0.1,37.506,0.0,0.0,243.40078568458557,,,,,,,,,,,,,,,,,,,,,12.81194192413935,12.026818561982834,36.77235559761887,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,347.0,5.0,70.0,1533.0,0.1,43.009,0.0,0.0,250.03938698768616,,,,,,,,,,,,,,,,,,,,,14.229118863153134,14.24591089184851,42.09711381008564,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,379.0,6.0,32.0,1565.0,0.1,17.206000000000017,0.0,0.0,253.38021230697632,,,,,,,,,,,,,,,,,,,,,5.537214309273935,5.965054279097792,17.062917915015355,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,448.0,7.0,69.0,1634.0,0.1,35.506,0.0,0.0,259.83623790740967,,,,,,,,,,,,,,,,,,,,,13.619594629037888,10.902543322360907,34.63548430371952,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,510.0,8.0,62.0,1696.0,0.1,31.917000000000034,0.0,0.0,266.02487349510193,,,,,,,,,,,,,,,,,,,,,9.135405470357863,10.570374975670978,31.41340024793343,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,538.0,9.0,28.0,1724.0,0.1,14.105999999999995,0.0,0.0,268.9569320678711,,,,,,,,,,,,,,,,,,,,,4.418655820952836,4.924792131153306,14.010284195119366,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,601.0,10.0,63.0,1787.0,0.1,26.407000000000043,0.0,0.0,275.000679731369,,,,,,,,,,,,,,,,,,,,,7.145590866116536,8.056172964073905,26.008819405426106,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,640.0,11.0,39.0,1826.0,0.1,21.80600000000002,0.0,0.0,278.92651438713074,,,,,,,,,,,,,,,,,,,,,7.131275053647523,7.399980108847851,21.571000703313672,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,669.0,12.0,29.0,1855.0,0.1,12.706999999999994,0.0,0.0,281.959614276886,,,,,,,,,,,,,,,,,,,,,3.6196718947332593,4.336867825007837,12.627271430642592,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,691.0,13.0,22.0,1877.0,0.1,9.504999999999995,0.0,0.0,284.62938117980957,,,,,,,,,,,,,,,,,,,,,2.8800774699082763,3.320742087638516,9.460549934982048,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,730.0,14.0,39.0,1916.0,0.1,15.505999999999991,0.0,0.0,288.54425597190857,,,,,,,,,,,,,,,,,,,,,4.143401568258267,4.938003872118831,15.375142248192068,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,788.0,15.0,58.0,1974.0,0.1,22.108000000000047,0.0,0.0,294.1336410045624,,,,,,,,,,,,,,,,,,,,,5.518023103842144,6.690996866714509,21.831596020421983,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,844.0,16.0,56.0,2030.0,0.1,26.708000000000034,0.0,0.0,299.5175664424896,,,,,,,,,,,,,,,,,,,,,7.6134266313981716,8.573838289560348,26.334290355061473,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,873.0,17.0,29.0,2059.0,0.1,13.606999999999994,0.0,0.0,302.47312021255493,,,,,,,,,,,,,,,,,,,,,4.04447648185876,4.693948613156993,13.516730125547067,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,928.0,18.0,55.0,2114.0,0.1,32.907,0.0,0.0,308.1111400127411,,,,,,,,,,,,,,,,,,,,,11.101635248969979,10.852998366074326,32.361099900006764,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1078.0,19.0,150.0,2264.0,0.1,63.51100000000007,0.0,0.0,321.7109320163727,,,,,,,,,,,,,,,,,,,,,25.34135200565742,15.415991967728518,59.829396162079405,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1145.0,20.0,67.0,2331.0,0.1,37.01199999999999,0.0,0.0,328.03457474708557,,,,,,,,,,,,,,,,,,,,,11.228173945989644,12.225405987101555,36.33234069466733,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,177.0,1.0,177.0,2508.0,0.1,80.70699999999987,0.0,0.0,444.8758432865143,,,,,,,,,,,,,,,,,,,,,31.23452186583241,22.875736496803086,75.32907244556635,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,316.0,2.0,139.0,2647.0,0.1,91.20599999999993,0.0,0.0,457.78742718696594,,,,,,,,,,,,,,,,,,,,,37.04624675902679,26.696619218276798,86.22894335826842,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,362.0,3.0,46.0,2693.0,0.1,28.80600000000002,0.0,0.0,462.2647285461426,,,,,,,,,,,,,,,,,,,,,10.071297437255353,9.739894402137425,28.39949090019575,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
